tweet_text,sentiment
layin n bed headache   ughh.waitin call,0
funeral ceremony.gloomy friday,0
want hang friend soon,1
pinging twitteruser not go prom bc bf not like friend,0
hmm  ,0
twitteruser charlene love miss,0
twitteruser sorry   least friday,0
choke retainer,0
ugh beat stupid song get next   rude,0
twitteruser u watch hill london u realise tourture week week late   watch itonlinelol,0
sleepy not even late fail,0
twitteruser lady gaga tweet not impress video leak know,0
convinced always want signal give off.damn think lose another friend,0
way home n 2 deal w underage girl drink gin da bus talk bout keggers.damn feel old,0
twitteruser   sorry people rude isaac get manner know well lewd,0
damm server still   need hit 80 koxper pass,0
fudge bs'd whole paper tired ugh hate school   time sleep,0
hate cancer hate hate hate,0
annoying start type computer middle night,0
twitteruser not sleep,0
miss bl**y bus,0
twitteruser yeah feel funny cause not sleep enough   wake mum cause singe not impressed,0
mm much well day far still quite early last day uds,1
twitteruser lt;3 go first   twitter ;) cause amazing lol come canada   would anything see perform,1
pick blackberry middle street crush,0
bed time hope go school tomorrow though not feel well right,0
twitteruser ahh   well hope could learn stuff way not work separate thing also,1
problem photo twitter amf.can't see face,0
chocolate milk much well straw lack say straw,1
tired,0
twitteruser   way damn suck b   ok,0
suck not able take day work money take trip   sad,0
bed.sorta today good sara strep think angelina share water b4 tell prob get,1
twitteruser haha   poor aby still get sore,0
want buy great album unfortunately not hav enuff fund   quot;long time noisy&quot,0
ok passenger one alive dead not know til end cry,0
twitteruser ia much not really happy cook choice single,0
.and woman transfer first impression sexual maternal onto less threatening man -- weak,0
brother bloom not open weekend el paso   buy brick enjoy watch brother bloom,1
say miss plurke  ,0
bite blood cat way rabie bacterin seem 7 shot 2 month never wash cat home hate water,0
sad shin ae get married.and not alex,0
twitteruser sure tweet back news abuzz tr knight 's leave quot;confirmed&quot today   muy triste,0
dammit hulu desktop totally screw ability talk particular port one dev server not watch code,0
twitteruser jealous mom talk twitteruser want see twittering make miss,0
twitteruser go sweetheart,1
freak difficult get system wide spellchecker shit 'd settle office suite one stupid unhelpful window,0
last one month due summer strawberry not availble chennai market,0
twitteruser correct adore pluck put arm cuz cryin   better hahaha,1
feel sad coz not able play guy  ,0
cayogial want come bz summer :/ not sure anymore teacher 's life summer suck,0
first ever drop call mobile call twitteruser less charge datum even though data pack  ,0
twitteruser win sigh rakeem,1
twitteruser website give virus open window keep pop,0
ahh big scary bug fly around room,0
wish know put through.she steal heart never give back.and occasionally like like look,1
nasty cough not sick huge weekend ahead,0
twitteruser   stone cold   crazy  ,0
tired,0
twitteruser second wish rain,1
feel deflate ugh dog,0
allergy suck duck nuts   lt;==8@8==&gt,0
well almost good day guess retry tomorrow,1
twitteruser sound good appreciate suggestion week still offline   time ask refund,1
twitteruser   youstinkatrespondingtotexts,0
miserable   feel like gona cry   sux,0
twitteruser well run beer leave not sure eta wait wait wait bleh   go long nite methink,0
nose stud fall not find   look like head amsterdam today get new one,0
claire twitteruser love show get office 5 a.m. radio,1
sigh go bed not feel right anymore,0
depressed watch think dance,0
cross stuck twiddle thumb ugh,0
not sleep sore move,0
twitteruser   awe miss baby,0
twitteruser answer you- never learn write french- basic stuff-,0
rip leonardo great mini fiddler crab,1
last day work uni today sad time,0
twitteruser thanks neemah go soo close izzy yet far,1
head hurt bad could scream,0
new work wellness challenge not go well   commit not check email 10 pm 6   fail first day   twice,0
new blog post blog auto insuran find auto insurance policy expire careless   meanw,0
not hate finish work still 1.25 hour leave work time,0
still miss husband   really want home,0
miss puppy,0
twitteruser   not get memo   look amazing,1
twitteruser give pizza kid would never let fav   hot one,0
twitteruser yearle pet home die sad whole family,0
feel sad reason  ,0
uploaded new blog painful story 80 year old man cry want die sad,0
twitteruser addicting kind curse night time everytime one feel like make music afterwards,0
headache   go bed goodnight,0
twitteruser get california vintage ahahah good dress want not ebay,1
take shift tomorrow   not really feel like work right,0
money phone,0
twitteruser 9 day   ready visit torchwood see hear anything,1
twitteruser bris not hear thunder,0
bad red devil disappointing say least,0
twitteruser 3ware 9650se not fast enough 3x x25-m ssd raid5 800mhz iop hpt may try adaptec 5405 1.2ghz,0
da heck garage man get ask,0
eat mandy please forgive really sorry not wanna lose bff,0
twitteruser umm yeah probably pretty good note self eeww,1
plane ticket expensive,0
need job badly,0
twitteruser daammnn wish,0
twitteruser nite n bored oppose almost sleep frm b 4,0
twitteruser happy birthdayy hope awesome day not see next last night,1
would wish severe migrain would stop doc 's prescription not work,0
twitteruser miss game,0
twitteruser cuz airline super lame,0
twitteruser still pity come lamb though,0
twitteruser   sorry hear optimist thing get well,0
